ID,Year_Birth,Education,Marital_Status,Income,Kidhome,Teenhome,Dt_Customer,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Response,Age,Total_Children,Family_Size,Total_Spending,Total_Purchases,Total_Accepted_Campaigns,Customer_Tenure_Days,Web_Conversion_Rate,Income_Group,R_Score,F_Score,M_Score,RFM_Score,RFM_Segment,KMeans_Cluster,Cluster_Name,PCA1,PCA2,Segment
5524,1957,Graduate,Alone,58138.0,0,0,2012-09-04,58,635,88,546,172,88,88,3,8,10,4,7,0,0,0,0,0,0,1,57,0,1,1617,22,0,848,1.1428571428571428,Mid-High,2,4,4,10,Loyal Customers,1,Cluster 1 - Affluent Loyalists,3.207817832756006,0.4712062869662089,Affluent Loyalists
2174,1954,Graduate,Alone,46344.0,1,1,2014-03-08,38,11,1,6,2,1,6,2,1,1,2,5,0,0,0,0,0,0,0,60,2,3,27,4,0,298,0.2,Mid-Low,3,1,1,5,At Risk,0,Cluster 0 - Budget Families,-2.1554066837066235,-0.010084977690995232,Budget Families
4141,1965,Graduate,Partner,71613.0,0,0,2013-08-21,26,426,49,127,111,21,42,1,8,2,10,4,0,0,0,0,0,0,0,49,0,1,776,20,0,497,2.0,High,3,4,3,10,Loyal Customers,1,Cluster 1 - Affluent Loyalists,1.6091258544033,-0.2958491269362389,Affluent Loyalists
6182,1984,Graduate,Partner,26646.0,1,0,2014-02-10,26,11,4,20,10,3,5,2,2,0,4,6,0,0,0,0,0,0,0,30,1,2,53,6,0,324,0.3333333333333333,Low,3,1,1,5,At Risk,0,Cluster 0 - Budget Families,-2.087182294276078,-0.45878276256797057,Budget Families
5324,1981,Postgraduate,Partner,58293.0,1,0,2014-01-19,94,173,43,118,46,27,15,5,5,3,6,5,0,0,0,0,0,0,0,33,1,2,422,14,0,346,1.0,Mid-High,1,3,3,7,Potential Loyalists,3,Cluster 3 - Deal-Seeking Families,0.07695682127303755,1.3076605591301251,Deal-Seeking Families
7446,1967,Postgraduate,Partner,62513.0,0,1,2013-09-09,16,520,42,98,0,42,14,2,6,4,10,6,0,0,0,0,0,0,0,47,1,2,716,20,0,478,1.0,Mid-High,4,4,3,11,Champions,1,Cluster 1 - Affluent Loyalists,1.0583459069628935,0.44893746321908584,Affluent Loyalists
965,1971,Graduate,Alone,55635.0,0,1,2012-11-13,34,235,65,164,50,49,27,4,7,3,7,6,0,0,0,0,0,0,0,43,1,2,590,17,0,778,1.1666666666666667,Mid-High,3,3,3,9,Loyal Customers,3,Cluster 3 - Deal-Seeking Families,0.5759646116485474,1.2722376985088326,Deal-Seeking Families
6177,1985,Postgraduate,Partner,33454.0,1,0,2013-05-08,32,76,10,56,3,1,23,2,4,0,4,8,0,0,0,0,0,0,0,29,1,2,169,8,0,602,0.5,Low,3,2,2,7,Potential Loyalists,0,Cluster 0 - Budget Families,-1.5025984680519135,-0.12290308614931492,Budget Families
4855,1974,Postgraduate,Partner,30351.0,1,0,2013-06-06,19,14,0,24,3,3,2,1,3,0,2,9,0,0,0,0,0,0,1,40,1,2,46,5,0,573,0.3333333333333333,Low,4,1,1,6,At Risk,0,Cluster 0 - Budget Families,-1.9486366992213298,-0.7240381278484672,Budget Families
5899,1950,Postgraduate,Partner,5648.0,1,1,2014-03-13,68,28,0,6,1,1,13,1,1,0,0,20,1,0,0,0,0,0,0,64,2,3,49,1,1,293,0.05,Low,2,1,1,4,Lost / Inactive,0,Cluster 0 - Budget Families,-2.9183931627591164,-0.6990171815454812,Budget Families
1994,1983,Graduate,Partner,51381.5,1,0,2013-11-15,11,5,5,6,0,2,1,1,1,0,2,7,0,0,0,0,0,0,0,31,1,2,19,3,0,411,0.14285714285714285,Mid-Low,4,1,1,6,At Risk,0,Cluster 0 - Budget Families,-1.896589072387066,-1.0823590089276673,Budget Families
387,1976,Undergraduate,Partner,7500.0,0,0,2012-11-13,59,6,16,11,11,1,16,1,2,0,3,8,0,0,0,0,0,0,0,38,0,1,61,5,0,778,0.25,Low,2,1,1,4,Lost / Inactive,0,Cluster 0 - Budget Families,-2.158561491799855,-1.4919699086740477,Budget Families
2125,1959,Graduate,Alone,63033.0,0,0,2013-11-15,82,194,61,480,225,112,30,1,3,4,8,2,0,0,0,0,0,0,0,55,0,1,1102,15,0,411,1.5,Mid-High,1,3,4,8,Potential Loyalists,1,Cluster 1 - Affluent Loyalists,1.0841039005629114,-1.143469179584717,Affluent Loyalists
8180,1952,Postgraduate,Alone,59354.0,1,1,2013-11-15,53,233,2,53,3,5,14,3,6,1,5,6,0,0,0,0,0,0,0,62,2,3,310,12,0,411,1.0,Mid-High,2,2,2,6,At Risk,3,Cluster 3 - Deal-Seeking Families,-0.6094999190330805,1.2931342689568976,Deal-Seeking Families
2569,1987,Graduate,Partner,17323.0,0,0,2012-10-10,38,3,14,17,6,1,5,1,1,0,3,8,0,0,0,0,0,0,0,27,0,1,46,4,0,812,0.125,Low,3,1,1,5,At Risk,0,Cluster 0 - Budget Families,-2.1506672883097755,-1.6784019459202162,Budget Families
2114,1946,Postgraduate,Alone,82800.0,0,0,2012-11-24,23,1006,22,115,59,68,45,1,7,6,12,3,0,0,1,1,0,0,1,68,0,1,1315,25,2,767,2.3333333333333335,High,4,4,4,12,Champions,2,Cluster 2 - VIP Champions,3.7385849548029797,-0.8743005303829673,VIP Champions
9736,1980,Graduate,Partner,41850.0,1,1,2012-12-24,51,53,5,19,2,13,4,3,3,0,3,8,0,0,0,0,0,0,0,34,2,3,96,6,0,737,0.375,Mid-Low,2,1,2,5,At Risk,0,Cluster 0 - Budget Families,-1.9956254818377348,0.7142108482247379,Budget Families
4939,1946,Graduate,Partner,37760.0,0,0,2012-08-31,20,84,5,38,150,12,28,2,4,1,6,7,0,0,0,0,0,0,0,68,0,1,317,11,0,852,0.5714285714285714,Mid-Low,4,2,2,8,Potential Loyalists,0,Cluster 0 - Budget Families,-0.6185541922837966,-0.7106724978629108,Budget Families
